k,t,r
1,0.193568,0.044721,0.000000
2,0.395155,0.044721,0.000000
3,0.564007,0.044721,0.000000
4,0.752702,0.044721,0.000000
5,0.923228,0.044721,0.000000
6,1.110782,0.044721,0.000000
7,1.280208,0.044721,0.000000
8,1.468912,0.044721,0.000000
9,1.638548,0.044721,0.000000
10,1.829585,0.044721,0.000000
11,1.998368,0.044721,0.000000
12,2.186474,0.044721,0.000000
13,2.356611,0.044721,0.000000
14,2.546136,0.044721,0.000000
15,2.712524,0.044721,0.000000
16,2.904473,0.044721,0.000000
17,3.072342,0.044721,0.000000
18,3.263283,0.044721,0.000000
19,3.434831,0.044721,0.000000
20,3.623704,0.044721,0.000000
21,3.792426,0.044721,0.000000
22,3.981502,0.044721,0.000000
23,4.151987,0.044721,0.000000
24,4.341659,0.044721,0.000000
25,4.510822,0.044721,0.000000
26,4.695927,0.044721,0.000000
27,4.865539,0.044721,0.000000
28,5.055338,0.044721,0.000000
29,5.225954,0.044721,0.000000
30,5.414407,0.044721,0.000000
31,5.584258,0.044721,0.000000
32,5.775726,0.044721,0.000000
33,5.944819,0.044721,0.000000
34,6.135430,0.044721,0.000000
35,6.305004,0.044721,0.000000
36,6.496918,0.044721,0.000000
37,6.668317,0.044721,0.000000
38,6.857072,0.044721,0.000000
39,7.028750,0.044721,0.000000
40,7.217537,0.044721,0.000000
41,7.388522,0.044721,0.000000
42,7.579239,0.044721,0.000001
43,7.747957,0.044720,0.000001
44,7.943512,0.044719,0.000004
45,8.110537,0.044717,0.000004
46,8.301472,0.044714,0.000014
47,8.471470,0.044710,0.000014
48,8.659338,0.044704,0.000035
49,8.830403,0.044697,0.000035
50,9.022182,0.044688,0.000071
51,9.193427,0.044678,0.000071
52,9.381443,0.044666,0.000125
53,9.549266,0.044654,0.000125
54,9.739412,0.044642,0.000197
55,9.911706,0.044630,0.000197
56,10.103349,0.044618,0.000280
57,10.290444,0.044607,0.000280
58,10.483608,0.044597,0.000366
59,10.652377,0.044588,0.000366
60,10.841978,0.044578,0.000452
61,11.012436,0.044569,0.000452
62,11.201090,0.044559,0.000536
63,11.373505,0.044548,0.000536
64,11.564983,0.044537,0.000624
65,11.736416,0.044524,0.000624
66,11.925102,0.044511,0.000721
67,12.094642,0.044497,0.000721
68,12.285230,0.044481,0.000835
69,12.455232,0.044465,0.000835
70,12.643624,0.044446,0.000974
71,12.815673,0.044427,0.000974
72,13.006480,0.044408,0.001139
73,13.179206,0.044387,0.001139
74,13.369898,0.044367,0.001328
75,13.539502,0.044346,0.001328
76,13.729413,0.044325,0.001533
77,13.900090,0.044305,0.001533
78,14.089564,0.044284,0.001748
79,14.259479,0.044263,0.001748
80,14.450985,0.044241,0.001973
81,14.621525,0.044218,0.001973
82,14.811941,0.044194,0.002220
83,14.981234,0.044167,0.002220
84,15.171471,0.044139,0.002508
85,15.343488,0.044108,0.002508
86,15.533999,0.044073,0.002861
87,15.705899,0.044034,0.002861
88,15.896370,0.043990,0.003313
89,16.065294,0.043940,0.003313
90,16.258740,0.043883,0.003899
91,16.431622,0.043821,0.003899
92,16.621055,0.043757,0.004605
93,16.791631,0.043694,0.004605
94,16.981213,0.043634,0.005347
95,17.152128,0.043579,0.005347
96,17.339844,0.043524,0.006048
97,17.507463,0.043465,0.006048
98,17.697919,0.043397,0.006786
99,17.868117,0.043320,0.006786
100,18.056990,0.043238,0.007670
101,18.226276,0.043157,0.007670
102,18.416583,0.043080,0.008636
103,18.587422,0.043010,0.008636
104,18.775140,0.042945,0.009525
105,18.944915,0.042882,0.009525
106,19.133752,0.042820,0.010319
107,19.304321,0.042758,0.010319
108,19.492826,0.042697,0.011041
109,19.664533,0.042638,0.011041
110,19.855279,0.042578,0.011728
111,20.024865,0.042517,0.011728
112,20.216125,0.042449,0.012491
113,20.388347,0.042368,0.012491
114,20.577670,0.042272,0.013575
115,20.748370,0.042159,0.013575
116,20.936991,0.042031,0.015155
117,21.107988,0.041895,0.015155
118,21.297892,0.041758,0.017123
119,21.469628,0.041626,0.017123
120,21.659902,0.041505,0.019060
121,21.830105,0.041401,0.019060
122,22.020931,0.041310,0.020558
123,22.190410,0.041217,0.020558
124,22.379986,0.041110,0.021945
125,22.552303,0.040982,0.021945
126,22.741248,0.040830,0.023875
127,22.913836,0.040662,0.023875
128,23.107849,0.040491,0.026426
129,23.278869,0.040320,0.026426
130,23.469798,0.040132,0.029215
131,23.639503,0.039922,0.029215
132,23.830707,0.039704,0.032491
133,24.002035,0.039496,0.032491
134,24.193003,0.039303,0.035846
135,24.363163,0.039123,0.035846
136,24.554295,0.038950,0.038792
137,24.724636,0.038784,0.038792
138,24.915703,0.038635,0.041272
139,25.084930,0.038503,0.041272
140,25.275035,0.038387,0.043179
141,25.445587,0.038267,0.043179
142,25.636004,0.038115,0.045184
143,25.807065,0.037935,0.045184
144,25.998514,0.037754,0.048084
145,26.172180,0.037582,0.048084
146,26.371070,0.037407,0.051078
147,26.544322,0.037209,0.051078
148,26.733073,0.036979,0.054477
149,26.903818,0.036716,0.054477
150,27.095718,0.036423,0.059107
151,27.266766,0.036094,0.059107
152,27.456792,0.035760,0.065030
153,27.628271,0.035443,0.065030
154,27.819183,0.035155,0.070798
155,27.990268,0.034888,0.070798
156,28.178861,0.034624,0.075764
157,28.349128,0.034375,0.075764
158,28.539025,0.034140,0.080173
159,28.709261,0.033905,0.080173
160,28.898260,0.033664,0.084367
161,29.069002,0.033386,0.084367
162,29.267324,0.033073,0.089530
163,29.437557,0.032760,0.089530
164,29.628775,0.032474,0.095103
165,29.801159,0.032216,0.095103
166,29.992093,0.031926,0.100236
167,30.163152,0.031572,0.100236
168,30.353298,0.031204,0.106978
169,30.524667,0.030865,0.106978
170,30.713970,0.030548,0.113519
171,30.885299,0.030243,0.113519
172,31.076767,0.029939,0.119198
173,31.247519,0.029621,0.119198
174,31.438029,0.029300,0.125309
175,31.607787,0.028998,0.125309
176,31.799383,0.028718,0.131373
177,31.969346,0.028452,0.131373
178,32.157237,0.028176,0.136702
179,32.327775,0.027861,0.136702
180,32.519738,0.027480,0.142861
181,32.690522,0.027069,0.142861
182,32.881540,0.026692,0.150601
183,33.053215,0.026348,0.150601
184,33.243788,0.025969,0.158041
185,33.414739,0.025549,0.158041
186,33.606270,0.025151,0.166282
187,33.776757,0.024798,0.166282
