k,t,r
1,2.187082,0.020000,0.000000
2,5.433817,0.020000,0.000000
3,7.599657,0.020000,0.000000
4,10.833939,0.020000,0.000000
5,13.011999,0.020000,0.000000
6,16.265401,0.020000,0.000000
7,18.428342,0.020000,0.000000
8,21.670735,0.020000,0.000000
9,23.853996,0.020000,0.000000
10,27.090427,0.020000,0.000000
11,29.275041,0.020000,0.000000
12,32.524512,0.020000,0.000000
13,34.701265,0.020000,0.000000
14,37.958820,0.020000,0.000000
15,40.149937,0.020000,0.000000
16,43.404959,0.020000,0.000000
17,45.581041,0.020000,0.000000
18,48.830257,0.020000,0.000000
19,51.015442,0.020000,0.000000
20,54.269384,0.020000,0.000000
21,56.463677,0.020000,0.000000
22,59.705710,0.020000,0.000000
23,61.893570,0.020000,0.000000
24,65.150886,0.020000,0.000000
25,67.337860,0.020000,0.000000
26,70.614558,0.020000,0.000000
27,72.809903,0.020000,0.000000
28,76.070068,0.020000,0.000000
29,78.260213,0.020000,0.000000
30,81.516868,0.020000,0.000000
31,83.691753,0.020000,0.000000
32,86.943698,0.020000,0.000000
33,89.120627,0.020000,0.000000
34,92.375711,0.020000,0.000000
35,94.558029,0.020000,0.000000
36,97.793798,0.020000,0.000000
37,99.973642,0.020000,0.000000
38,103.215364,0.020000,0.000000
39,105.384828,0.020000,0.000000
40,108.615597,0.020000,0.000000
41,110.792539,0.020000,0.000000
42,114.033513,0.019999,0.000001
43,116.215234,0.019999,0.000001
44,119.476307,0.019999,0.000001
45,121.656174,0.019999,0.000001
46,124.889397,0.019999,0.000002
47,127.066469,0.019999,0.000002
48,130.314007,0.019998,0.000003
49,132.502406,0.019998,0.000003
50,135.758360,0.019998,0.000004
51,137.938022,0.019998,0.000004
52,141.199839,0.019997,0.000005
53,143.381670,0.019997,0.000005
54,146.630064,0.019997,0.000006
55,148.815923,0.019997,0.000006
56,152.069981,0.019997,0.000007
57,154.246896,0.019997,0.000007
58,157.506477,0.019996,0.000008
59,159.689896,0.019996,0.000008
60,162.949238,0.019996,0.000009
61,165.128389,0.019996,0.000009
62,168.386696,0.019996,0.000009
63,170.581870,0.019996,0.000009
64,173.838198,0.019996,0.000009
65,176.027607,0.019996,0.000009
66,179.280749,0.019996,0.000010
67,181.464626,0.019996,0.000010
68,184.714467,0.019996,0.000010
69,186.883662,0.019996,0.000010
70,190.130665,0.019996,0.000009
71,192.313129,0.019996,0.000009
72,195.547394,0.019996,0.000009
73,197.715619,0.019996,0.000009
74,200.961247,0.019996,0.000009
75,203.132750,0.019996,0.000009
76,206.385284,0.019996,0.000009
77,208.547453,0.019996,0.000009
78,211.777533,0.019996,0.000009
79,213.939532,0.019996,0.000009
80,217.176296,0.019996,0.000009
81,219.344148,0.019996,0.000009
82,222.580802,0.019996,0.000009
83,224.759452,0.019996,0.000009
84,228.014227,0.019996,0.000009
85,230.191562,0.019996,0.000009
86,233.433217,0.019995,0.000010
87,235.612660,0.019995,0.000010
88,238.852633,0.019995,0.000012
89,241.031071,0.019995,0.000012
90,244.271437,0.019994,0.000014
91,246.444743,0.019994,0.000014
92,249.692598,0.019994,0.000017
93,251.869231,0.019993,0.000017
94,255.113001,0.019992,0.000022
95,257.312935,0.019992,0.000022
96,260.554361,0.019991,0.000027
97,262.727246,0.019990,0.000027
98,265.977343,0.019990,0.000034
99,268.169060,0.019989,0.000034
100,271.431416,0.019988,0.000042
