k,t,r
188,88.657468,0.000034,0.000086
189,89.056635,0.000034,0.000086
190,89.604599,0.000033,0.000098
191,90.016808,0.000033,0.000098
192,90.553105,0.000032,0.000105
193,90.965931,0.000032,0.000105
194,91.502027,0.000032,0.000107
195,91.914803,0.000032,0.000107
196,92.458558,0.000032,0.000108
197,92.863592,0.000032,0.000108
198,93.399564,0.000032,0.000106
199,93.805022,0.000032,0.000106
200,94.335728,0.000032,0.000104
201,94.741047,0.000032,0.000104
202,95.282247,0.000031,0.000108
203,95.686718,0.000031,0.000108
204,96.218658,0.000031,0.000112
205,96.625827,0.000031,0.000112
206,97.162096,0.000031,0.000116
207,97.577790,0.000031,0.000116
208,98.125109,0.000031,0.000119
209,98.524588,0.000031,0.000119
210,99.052864,0.000031,0.000120
211,99.457209,0.000032,0.000120
212,99.994241,0.000032,0.000120
213,100.395440,0.000032,0.000120
214,100.928382,0.000033,0.000119
215,101.333084,0.000033,0.000119
216,101.880550,0.000033,0.000115
217,102.289344,0.000033,0.000115
218,102.827840,0.000034,0.000112
219,103.246906,0.000034,0.000112
220,103.780691,0.000034,0.000107
221,104.196761,0.000034,0.000107
222,104.727294,0.000034,0.000100
223,105.137569,0.000034,0.000100
224,105.675357,0.000033,0.000094
225,106.077309,0.000033,0.000094
226,106.607556,0.000033,0.000090
227,107.008204,0.000033,0.000090
228,107.551530,0.000032,0.000087
229,107.955556,0.000032,0.000087
230,108.494963,0.000032,0.000085
231,108.900372,0.000031,0.000085
232,109.445824,0.000031,0.000084
233,109.853649,0.000030,0.000084
234,110.389180,0.000030,0.000082
235,110.793045,0.000029,0.000082
236,111.336910,0.000029,0.000079
237,111.737281,0.000028,0.000079
238,112.266761,0.000028,0.000077
239,112.676446,0.000027,0.000077
240,113.213147,0.000027,0.000076
241,113.623293,0.000026,0.000076
242,114.173786,0.000025,0.000076
243,114.583218,0.000024,0.000076
244,115.114658,0.000023,0.000077
245,115.520347,0.000023,0.000077
246,116.054995,0.000022,0.000080
247,116.461776,0.000021,0.000080
248,117.002393,0.000020,0.000080
249,117.410140,0.000019,0.000080
250,117.954690,0.000019,0.000079
251,118.364487,0.000018,0.000079
252,118.926579,0.000018,0.000079
253,119.336119,0.000017,0.000079
254,119.873433,0.000017,0.000081
255,120.286361,0.000017,0.000081
256,120.834341,0.000017,0.000083
257,121.241276,0.000018,0.000083
258,121.786915,0.000018,0.000086
259,122.188082,0.000019,0.000086
260,122.719760,0.000019,0.000087
261,123.131147,0.000020,0.000087
262,123.657052,0.000020,0.000090
263,124.067697,0.000021,0.000090
264,124.607220,0.000022,0.000091
265,125.016763,0.000022,0.000091
266,125.562011,0.000023,0.000094
267,125.961942,0.000023,0.000094
268,126.512450,0.000024,0.000096
269,126.920693,0.000024,0.000096
270,127.453352,0.000024,0.000097
271,127.858832,0.000025,0.000097
272,128.388975,0.000025,0.000098
273,128.791001,0.000025,0.000098
274,129.329512,0.000025,0.000098
275,129.728103,0.000026,0.000098
276,130.261888,0.000026,0.000098
277,130.658240,0.000026,0.000098
278,131.193291,0.000026,0.000098
279,131.588547,0.000026,0.000098
280,132.130590,0.000026,0.000098
281,132.526498,0.000026,0.000098
282,133.072465,0.000026,0.000097
283,133.472979,0.000025,0.000097
284,134.017650,0.000025,0.000098
285,134.417256,0.000025,0.000098
286,134.949486,0.000025,0.000097
287,135.351555,0.000024,0.000097
288,135.902417,0.000024,0.000096
289,136.309869,0.000024,0.000096
290,136.869682,0.000023,0.000095
291,137.270255,0.000023,0.000095
292,137.810837,0.000023,0.000095
293,138.211333,0.000022,0.000095
294,138.755065,0.000022,0.000095
295,139.156103,0.000021,0.000095
296,139.694944,0.000021,0.000096
297,140.093045,0.000021,0.000096
298,140.630554,0.000020,0.000097
299,141.037758,0.000020,0.000097
300,141.574418,0.000019,0.000097
301,141.977623,0.000019,0.000097
302,142.523016,0.000018,0.000096
303,142.930143,0.000018,0.000096
304,143.468022,0.000017,0.000095
305,143.869974,0.000017,0.000095
306,144.407238,0.000016,0.000094
307,144.811238,0.000016,0.000094
308,145.342323,0.000015,0.000094
309,145.747867,0.000015,0.000094
310,146.280969,0.000015,0.000093
311,146.683816,0.000015,0.000093
312,147.213055,0.000014,0.000093
313,147.615923,0.000014,0.000093
314,148.149246,0.000014,0.000093
315,148.547856,0.000014,0.000093
316,149.080296,0.000014,0.000092
317,149.480837,0.000015,0.000092
318,150.023577,0.000015,0.000091
319,150.423453,0.000015,0.000091
320,150.964185,0.000015,0.000090
321,151.368446,0.000015,0.000090
322,151.900804,0.000015,0.000088
323,152.303414,0.000016,0.000088
324,152.838731,0.000016,0.000088
325,153.246554,0.000016,0.000088
326,153.785107,0.000016,0.000088
327,154.189281,0.000016,0.000088
328,154.730785,0.000016,0.000089
329,155.133636,0.000017,0.000089
330,155.669544,0.000017,0.000091
331,156.073217,0.000017,0.000091
332,156.610186,0.000017,0.000094
333,157.013598,0.000017,0.000094
334,157.542375,0.000018,0.000097
335,157.945629,0.000018,0.000097
336,158.481364,0.000018,0.000100
337,158.890095,0.000018,0.000100
338,159.424433,0.000018,0.000104
339,159.836745,0.000019,0.000104
340,160.377096,0.000019,0.000107
341,160.779463,0.000019,0.000107
342,161.307914,0.000019,0.000110
343,161.707522,0.000019,0.000110
344,162.243889,0.000019,0.000112
345,162.648818,0.000019,0.000112
346,163.180491,0.000019,0.000114
347,163.577099,0.000019,0.000114
348,164.106811,0.000019,0.000115
349,164.505649,0.000019,0.000115
350,165.041412,0.000019,0.000117
351,165.447510,0.000019,0.000117
352,165.982275,0.000019,0.000118
353,166.389708,0.000019,0.000118
354,166.929656,0.000019,0.000118
355,167.339113,0.000019,0.000118
356,167.894873,0.000019,0.000118
357,168.300928,0.000019,0.000118
358,168.848854,0.000018,0.000118
359,169.251070,0.000018,0.000118
360,169.789021,0.000018,0.000118
361,170.196720,0.000018,0.000118
362,170.725639,0.000018,0.000119
363,171.129918,0.000017,0.000119
364,171.669989,0.000017,0.000119
365,172.087237,0.000017,0.000119
366,172.618216,0.000017,0.000120
367,173.027035,0.000017,0.000120
368,173.567713,0.000017,0.000119
369,173.980400,0.000016,0.000119
370,174.519061,0.000016,0.000119
371,174.928179,0.000016,0.000119
372,175.462668,0.000016,0.000120
373,175.868025,0.000016,0.000120
374,176.411016,0.000016,0.000122
375,176.817228,0.000016,0.000122
376,177.359388,0.000015,0.000124
377,177.755825,0.000015,0.000124
378,178.297827,0.000015,0.000127
379,178.699323,0.000015,0.000127
380,179.234742,0.000014,0.000130
381,179.640439,0.000014,0.000130
382,180.177661,0.000014,0.000133
383,180.581873,0.000013,0.000133
384,181.120519,0.000013,0.000135
385,181.527731,0.000013,0.000135
386,182.067285,0.000013,0.000136
387,182.470779,0.000012,0.000136
388,183.001953,0.000012,0.000137
389,183.407872,0.000012,0.000137
390,183.938551,0.000012,0.000137
391,184.342558,0.000012,0.000137
392,184.886538,0.000012,0.000136
393,185.292386,0.000012,0.000136
394,185.844186,0.000012,0.000132
395,186.245909,0.000012,0.000132
396,186.786597,0.000012,0.000128
397,187.198606,0.000012,0.000128
398,187.741726,0.000012,0.000123
399,188.156770,0.000012,0.000123
400,188.698825,0.000012,0.000119
401,189.105926,0.000012,0.000119
402,189.669478,0.000012,0.000115
403,190.076490,0.000012,0.000115
404,190.616919,0.000012,0.000111
405,191.020390,0.000012,0.000111
406,191.552016,0.000012,0.000107
407,191.949323,0.000012,0.000107
408,192.488859,0.000012,0.000104
409,192.893450,0.000012,0.000104
410,193.430490,0.000012,0.000102
411,193.828168,0.000013,0.000102
412,194.371187,0.000013,0.000099
413,194.782780,0.000013,0.000099
414,195.317522,0.000013,0.000097
415,195.722895,0.000013,0.000097
416,196.253208,0.000013,0.000095
417,196.653355,0.000013,0.000095
418,197.183151,0.000013,0.000093
419,197.584995,0.000014,0.000093
420,198.118174,0.000014,0.000091
421,198.526205,0.000014,0.000091
422,199.082071,0.000014,0.000090
423,199.488215,0.000014,0.000090
424,200.047236,0.000014,0.000088
425,200.448093,0.000014,0.000088
426,200.991715,0.000014,0.000086
427,201.405509,0.000014,0.000086
428,201.945408,0.000014,0.000084
429,202.349051,0.000014,0.000084
430,202.882956,0.000014,0.000083
431,203.285585,0.000015,0.000083
432,203.821665,0.000015,0.000082
433,204.223075,0.000015,0.000082
434,204.762559,0.000015,0.000081
435,205.171933,0.000015,0.000081
436,205.711373,0.000015,0.000080
437,206.114340,0.000015,0.000080
438,206.673756,0.000015,0.000079
439,207.071183,0.000015,0.000079
440,207.628380,0.000014,0.000078
441,208.026383,0.000014,0.000078
442,208.559255,0.000014,0.000077
443,208.964919,0.000014,0.000077
444,209.497879,0.000014,0.000075
445,209.902750,0.000014,0.000075
446,210.441142,0.000014,0.000072
447,210.841924,0.000014,0.000072
448,211.381375,0.000014,0.000071
449,211.787820,0.000014,0.000071
450,212.341118,0.000014,0.000070
451,212.745352,0.000013,0.000070
452,213.279516,0.000013,0.000069
453,213.692222,0.000013,0.000069
454,214.234854,0.000013,0.000070
455,214.650813,0.000013,0.000070
456,215.193977,0.000013,0.000071
457,215.602263,0.000013,0.000071
458,216.133244,0.000012,0.000072
459,216.542536,0.000012,0.000072
460,217.103901,0.000012,0.000074
461,217.511804,0.000012,0.000074
462,218.039089,0.000012,0.000075
463,218.436412,0.000011,0.000075
464,218.971753,0.000011,0.000077
465,219.386428,0.000011,0.000077
466,219.915980,0.000011,0.000079
467,220.326675,0.000011,0.000079
468,220.868094,0.000011,0.000081
469,221.271452,0.000011,0.000081
470,221.814493,0.000011,0.000082
471,222.220071,0.000011,0.000082
472,222.757137,0.000010,0.000083
473,223.165480,0.000010,0.000083
474,223.700690,0.000010,0.000084
475,224.105334,0.000010,0.000084
476,224.652923,0.000010,0.000085
477,225.059056,0.000010,0.000085
478,225.594923,0.000010,0.000086
479,225.998870,0.000010,0.000086
480,226.534868,0.000010,0.000088
481,226.937563,0.000010,0.000088
482,227.469111,0.000010,0.000091
483,227.871409,0.000010,0.000091
484,228.401627,0.000010,0.000094
485,228.804337,0.000010,0.000094
486,229.333108,0.000009,0.000096
487,229.736783,0.000009,0.000096
488,230.267508,0.000009,0.000099
489,230.669364,0.000009,0.000099
490,231.199838,0.000009,0.000102
491,231.606276,0.000009,0.000102
492,232.151110,0.000010,0.000104
493,232.553413,0.000010,0.000104
494,233.094071,0.000010,0.000106
495,233.503387,0.000010,0.000106
496,234.044388,0.000010,0.000108
497,234.455247,0.000010,0.000108
498,234.987479,0.000010,0.000111
499,235.394206,0.000010,0.000111
500,235.932719,0.000011,0.000112
501,236.338209,0.000011,0.000112
502,236.867580,0.000011,0.000114
503,237.266891,0.000011,0.000114
504,237.797205,0.000011,0.000116
505,238.194297,0.000011,0.000116
506,238.741014,0.000011,0.000117
507,239.147702,0.000011,0.000117
508,239.691471,0.000011,0.000119
509,240.092055,0.000011,0.000119
510,240.633365,0.000011,0.000121
511,241.033183,0.000011,0.000121
512,241.569666,0.000012,0.000123
513,241.977389,0.000012,0.000123
514,242.504328,0.000012,0.000125
515,242.909693,0.000012,0.000125
516,243.458406,0.000012,0.000126
517,243.860216,0.000012,0.000126
518,244.390207,0.000012,0.000126
519,244.793723,0.000012,0.000126
520,245.320348,0.000012,0.000126
