k,t,r
1,0.199987,0.044721,0.000000
2,0.393932,0.044721,0.000000
3,0.562948,0.044721,0.000000
4,0.757166,0.044721,0.000000
5,0.924046,0.044721,0.000000
6,1.110040,0.044721,0.000000
7,1.276266,0.044721,0.000000
8,1.469127,0.044721,0.000000
9,1.645940,0.044721,0.000000
10,1.832729,0.044721,0.000000
11,2.003260,0.044721,0.000000
12,2.188258,0.044721,0.000000
13,2.357855,0.044721,0.000000
14,2.542705,0.044721,0.000000
15,2.710641,0.044721,0.000000
16,2.897811,0.044721,0.000000
17,3.066718,0.044721,0.000000
18,3.255467,0.044721,0.000000
19,3.431784,0.044721,0.000000
20,3.616668,0.044721,0.000000
21,3.791402,0.044721,0.000000
22,3.978803,0.044721,0.000000
23,4.144048,0.044721,0.000000
24,4.331166,0.044721,0.000000
25,4.502928,0.044721,0.000000
26,4.690203,0.044721,0.000001
27,4.863681,0.044720,0.000001
28,5.049588,0.044718,0.000007
29,5.213637,0.044715,0.000007
30,5.400344,0.044711,0.000025
31,5.566631,0.044704,0.000025
32,5.752061,0.044694,0.000071
33,5.915886,0.044680,0.000071
34,6.103921,0.044663,0.000165
35,6.270616,0.044642,0.000165
36,6.456964,0.044618,0.000323
37,6.624158,0.044591,0.000323
38,6.810479,0.044560,0.000557
39,6.978018,0.044527,0.000557
40,7.163927,0.044489,0.000885
41,7.331827,0.044450,0.000885
42,7.521842,0.044408,0.001308
43,7.686884,0.044366,0.001308
44,7.873316,0.044323,0.001811
45,8.043619,0.044279,0.001811
46,8.230683,0.044235,0.002364
47,8.400344,0.044190,0.002364
48,8.584716,0.044143,0.002934
49,8.748306,0.044094,0.002934
50,8.932821,0.044039,0.003532
51,9.104898,0.043978,0.003532
52,9.289519,0.043909,0.004232
53,9.463357,0.043834,0.004232
54,9.650215,0.043752,0.005141
55,9.816236,0.043664,0.005141
56,10.000355,0.043567,0.006396
57,10.171687,0.043461,0.006396
58,10.360407,0.043346,0.008089
59,10.533168,0.043221,0.008089
60,10.720141,0.043084,0.010206
61,10.887161,0.042938,0.010206
62,11.073930,0.042785,0.012588
63,11.245324,0.042630,0.012588
64,11.433347,0.042472,0.014964
65,11.599965,0.042303,0.014964
66,11.785902,0.042118,0.017495
67,11.955484,0.041916,0.017495
68,12.144818,0.041706,0.020573
69,12.311178,0.041489,0.020573
70,12.497610,0.041273,0.024165
71,12.668344,0.041064,0.024165
72,12.857245,0.040855,0.027787
73,13.030609,0.040619,0.027787
74,13.215085,0.040342,0.031949
75,13.390046,0.040036,0.031949
76,13.576453,0.039743,0.037128
77,13.746564,0.039457,0.037128
78,13.937008,0.039142,0.042597
79,14.107281,0.038818,0.042597
80,14.293472,0.038517,0.048407
81,14.459489,0.038223,0.048407
82,14.646031,0.037906,0.054113
83,14.815793,0.037574,0.054113
84,15.005276,0.037230,0.060481
85,15.175678,0.036874,0.060481
86,15.360566,0.036519,0.067529
87,15.529981,0.036156,0.067529
88,15.723304,0.035769,0.075029
89,15.900090,0.035350,0.075029
90,16.088158,0.034921,0.083447
91,16.256478,0.034516,0.083447
92,16.445256,0.034102,0.091998
93,16.622589,0.033631,0.091998
94,16.809257,0.033170,0.101859
95,16.975867,0.032726,0.101859
96,17.163521,0.032243,0.111935
97,17.332570,0.031735,0.111935
98,17.520697,0.031231,0.123035
99,17.687729,0.030729,0.123035
100,17.877400,0.030188,0.134684
101,18.044228,0.029654,0.134684
102,18.232132,0.029148,0.146526
103,18.403932,0.028620,0.146526
104,18.591319,0.028105,0.158367
105,18.757434,0.027622,0.158367
106,18.942300,0.027129,0.169663
107,19.118449,0.026612,0.169663
108,19.306221,0.025960,0.182792
109,19.475426,0.025148,0.182792
110,19.661533,0.024369,0.201414
111,19.832575,0.023722,0.201414
112,20.019266,0.023154,0.217494
113,20.192432,0.022643,0.217494
114,20.380628,0.022050,0.230406
115,20.549834,0.021328,0.230406
116,20.739630,0.020665,0.245699
117,20.904954,0.020113,0.245699
118,21.090365,0.019576,0.258671
119,21.258148,0.018998,0.258671
120,21.441891,0.018325,0.272170
121,21.605720,0.017653,0.272170
122,21.791215,0.017106,0.287275
123,21.958198,0.016617,0.287275
124,22.143676,0.016150,0.299176
125,22.311567,0.015701,0.299176
126,22.497648,0.015306,0.308289
127,22.664096,0.014966,0.308289
128,22.851266,0.014572,0.315128
129,23.019660,0.014023,0.315128
130,23.208337,0.013405,0.325456
131,23.375879,0.012831,0.325456
132,23.565884,0.012230,0.338204
133,23.730239,0.011592,0.338204
134,23.917570,0.011070,0.351545
135,24.085848,0.010618,0.351545
136,24.272478,0.010208,0.361402
137,24.436508,0.009815,0.361402
138,24.624840,0.009354,0.368684
139,24.800710,0.008933,0.368684
140,24.997067,0.008607,0.375258
141,25.170123,0.008310,0.375258
142,25.354954,0.007987,0.379981
143,25.520618,0.007580,0.379981
144,25.707924,0.007159,0.384861
145,25.877479,0.006848,0.384861
146,26.063660,0.006659,0.388805
147,26.235021,0.006465,0.388805
148,26.421392,0.006197,0.391242
149,26.590712,0.005857,0.391242
150,26.777726,0.005564,0.394706
151,26.949855,0.005392,0.394706
152,27.137185,0.005243,0.397326
153,27.311646,0.005066,0.397326
154,27.496643,0.004907,0.398829
155,27.665051,0.004789,0.398829
156,27.850597,0.004704,0.399636
157,28.020828,0.004659,0.399636
158,28.209668,0.004635,0.399719
159,28.378047,0.004603,0.399719
160,28.564577,0.004548,0.399494
161,28.733503,0.004453,0.399494
162,28.921490,0.004324,0.399808
163,29.089404,0.004214,0.399808
164,29.276856,0.004113,0.400738
165,29.445022,0.003970,0.400738
166,29.632843,0.003771,0.402092
167,29.808279,0.003558,0.402092
168,29.996046,0.003373,0.403912
169,30.166765,0.003204,0.403912
170,30.353016,0.003062,0.405798
171,30.519758,0.002978,0.405798
172,30.707912,0.002913,0.407054
173,30.877702,0.002806,0.407054
174,31.066215,0.002627,0.407649
175,31.236073,0.002373,0.407649
176,31.429201,0.002110,0.408235
177,31.598971,0.001927,0.408235
178,31.787730,0.001786,0.408702
179,31.956855,0.001598,0.408702
180,32.143002,0.001377,0.409166
181,32.308632,0.001196,0.409166
182,32.495621,0.001033,0.409528
183,32.668231,0.000870,0.409528
184,32.854312,0.000760,0.409720
185,33.023976,0.000715,0.409720
186,33.208181,0.000685,0.409639
187,33.382526,0.000639,0.409639
188,33.569544,0.000575,0.409453
189,33.741379,0.000506,0.409453
190,33.927278,0.000447,0.409292
191,34.092848,0.000412,0.409292
192,34.279598,0.000399,0.409204
193,34.450713,0.000397,0.409204
194,34.637594,0.000399,0.409189
195,34.807349,0.000399,0.409189
196,34.995985,0.000394,0.409221
197,35.164746,0.000385,0.409221
198,35.350771,0.000374,0.409259
199,35.523624,0.000363,0.409259
200,35.709628,0.000353,0.409280
201,35.875871,0.000344,0.409280
202,36.061448,0.000337,0.409263
203,36.230926,0.000330,0.409263
204,36.416399,0.000323,0.409224
205,36.582057,0.000317,0.409224
206,36.768256,0.000310,0.409181
207,36.938491,0.000302,0.409181
208,37.123376,0.000294,0.409127
209,37.292600,0.000287,0.409127
210,37.477170,0.000281,0.409085
211,37.642341,0.000276,0.409085
212,37.827441,0.000273,0.409057
213,37.993994,0.000272,0.409057
214,38.180340,0.000271,0.409038
215,38.346550,0.000271,0.409038
216,38.533210,0.000271,0.409026
217,38.700440,0.000271,0.409026
218,38.890027,0.000270,0.409025
219,39.056220,0.000269,0.409025
220,39.239720,0.000268,0.409032
221,39.407088,0.000266,0.409032
222,39.593427,0.000263,0.409040
223,39.757636,0.000260,0.409040
224,39.942839,0.000256,0.409044
225,40.108945,0.000251,0.409044
226,40.295809,0.000245,0.409042
227,40.472694,0.000238,0.409042
228,40.658277,0.000231,0.409033
229,40.832941,0.000224,0.409033
230,41.024094,0.000217,0.409015
231,41.198587,0.000209,0.409015
232,41.385341,0.000200,0.408987
233,41.562504,0.000192,0.408987
234,41.750214,0.000183,0.408953
235,41.919412,0.000174,0.408953
236,42.106041,0.000166,0.408920
237,42.276810,0.000158,0.408920
238,42.463850,0.000150,0.408894
239,42.632439,0.000144,0.408894
240,42.819824,0.000138,0.408866
241,42.987550,0.000134,0.408866
242,43.173101,0.000130,0.408839
243,43.346376,0.000128,0.408839
244,43.532264,0.000127,0.408813
245,43.702179,0.000127,0.408813
246,43.889256,0.000128,0.408788
247,44.062284,0.000130,0.408788
248,44.250755,0.000132,0.408763
249,44.418969,0.000135,0.408763
250,44.607122,0.000138,0.408738
251,44.773252,0.000141,0.408738
252,44.960941,0.000145,0.408705
253,45.138491,0.000148,0.408705
254,45.323314,0.000152,0.408670
255,45.493814,0.000155,0.408670
256,45.681136,0.000159,0.408642
257,45.850478,0.000162,0.408642
258,46.038101,0.000165,0.408619
259,46.214590,0.000167,0.408619
260,46.401375,0.000169,0.408597
261,46.576685,0.000171,0.408597
262,46.765911,0.000173,0.408582
263,46.941102,0.000174,0.408582
264,47.128731,0.000174,0.408571
265,47.303652,0.000175,0.408571
266,47.491563,0.000175,0.408565
267,47.657623,0.000174,0.408565
268,47.841017,0.000174,0.408566
269,48.008283,0.000173,0.408566
270,48.196063,0.000171,0.408572
271,48.373195,0.000169,0.408572
272,48.558831,0.000168,0.408579
273,48.732594,0.000165,0.408579
274,48.916301,0.000163,0.408585
275,49.086997,0.000160,0.408585
276,49.273125,0.000158,0.408587
277,49.442377,0.000155,0.408587
278,49.632743,0.000152,0.408585
279,49.802016,0.000150,0.408585
280,49.987925,0.000148,0.408580
281,50.160002,0.000146,0.408580
282,50.346654,0.000144,0.408571
283,50.520036,0.000142,0.408571
284,50.706587,0.000141,0.408560
285,50.874081,0.000140,0.408560
286,51.060664,0.000139,0.408553
