k,t,r
1,2.199754,0.020000,0.000000
2,5.472979,0.019999,0.003999
3,7.632724,0.000052,0.003999
4,10.885198,0.000007,0.000001
5,13.062795,0.000006,0.000001
6,16.318068,0.000002,0.000000
7,18.464221,0.000001,0.000000
8,21.693550,0.000001,0.000000
9,23.842804,0.000000,0.000000
10,27.091303,0.000002,0.000000
11,29.242408,0.000000,0.000000
12,32.498709,0.000001,0.000000
13,34.651133,0.000001,0.000000
14,37.890616,0.000001,0.000000
15,40.032834,0.000001,0.000000
16,43.272816,0.000000,0.000000
17,45.422549,0.000001,0.000000
18,48.641847,0.000001,0.000000
19,50.805591,0.000000,0.000000
20,54.032437,0.000002,0.000000
21,56.174201,0.000000,0.000000
22,59.412499,0.000001,0.000000
23,61.558887,0.000000,0.000000
24,64.799342,0.000001,0.000000
25,66.950796,0.000000,0.000000
26,70.166112,0.000001,0.000000
27,72.324170,0.000000,0.000000
28,75.554554,0.000000,0.000000
29,77.726643,0.000000,0.000000
30,80.966345,0.000002,0.000001
31,83.128754,0.000001,0.000001
32,86.380226,0.000002,0.000000
33,88.545062,0.000000,0.000000
34,91.804442,0.000001,0.000000
35,93.968489,0.000001,0.000000
36,97.215675,0.000000,0.000000
37,99.365216,0.000002,0.000000
38,102.617575,0.000000,0.000000
39,104.784554,0.000001,0.000000
40,108.031875,0.000001,0.000000
41,110.204609,0.000001,0.000000
42,113.454060,0.000000,0.000000
43,115.617620,0.000000,0.000000
44,118.863156,0.000000,0.000000
45,121.022461,0.000002,0.000000
46,124.269242,0.000000,0.000000
47,126.426640,0.000001,0.000000
48,129.661790,0.000001,0.000000
49,131.808719,0.000000,0.000000
50,135.068461,0.000001,0.000000
51,137.216412,0.000000,0.000000
52,140.476160,0.000002,0.000000
53,142.624892,0.000000,0.000000
54,145.864779,0.000001,0.000000
55,148.026898,0.000000,0.000000
56,151.247912,0.000001,0.000000
57,153.398447,0.000000,0.000000
58,156.646131,0.000002,0.000000
59,158.793389,0.000000,0.000000
60,162.016823,0.000001,0.000000
61,164.171073,0.000000,0.000000
62,167.416432,0.000001,0.000000
63,169.570899,0.000000,0.000000
64,172.809571,0.000001,0.000000
65,174.976661,0.000000,0.000000
66,178.211586,0.000002,0.000000
67,180.367670,0.000000,0.000000
68,183.618345,0.000001,0.000000
69,185.778080,0.000000,0.000000
70,188.999317,0.000001,0.000000
71,191.158545,0.000000,0.000000
72,194.404809,0.000001,0.000000
73,196.575612,0.000001,0.000000
74,199.813364,0.000000,0.000000
75,201.970436,0.000000,0.000000
76,205.221017,0.000001,0.000000
77,207.376114,0.000000,0.000000
78,210.627845,0.000001,0.000000
79,212.787204,0.000000,0.000000
80,216.031604,0.000002,0.000000
81,218.183934,0.000000,0.000000
82,221.410509,0.000001,0.000000
83,223.554334,0.000001,0.000000
84,226.794824,0.000001,0.000000
85,228.939924,0.000001,0.000000
86,232.172026,0.000000,0.000000
87,234.326543,0.000001,0.000000
88,237.553400,0.000001,0.000000
89,239.711819,0.000000,0.000000
90,242.945243,0.000001,0.000000
91,245.098375,0.000001,0.000000
92,248.333667,0.000000,0.000000
93,250.477714,0.000001,0.000000
94,253.708623,0.000001,0.000000
95,255.875457,0.000000,0.000000
96,259.107344,0.000002,0.000000
97,261.256068,0.000000,0.000000
98,264.527297,0.000001,0.000000
99,266.684854,0.000000,0.000000
100,269.932959,0.000001,0.000000
101,272.097819,0.000000,0.000000
102,275.340860,0.000001,0.000000
103,277.501178,0.000001,0.000000
104,280.755872,0.000000,0.000000
105,282.907768,0.000001,0.000000
106,286.137620,0.000001,0.000000
107,288.314405,0.000000,0.000000
108,291.557797,0.000000,0.000000
109,293.710392,0.000001,0.000000
110,296.963320,0.000000,0.000000
111,299.124939,0.000001,0.000000
112,302.366202,0.000000,0.000000
113,304.528094,0.000000,0.000000
114,307.761265,0.000002,0.000000
115,309.909553,0.000000,0.000000
116,313.137091,0.000001,0.000000
117,315.281354,0.000000,0.000000
118,318.506225,0.000000,0.000000
119,320.663796,0.000000,0.000000
120,323.887320,0.000001,0.000000
121,326.041762,0.000001,0.000000
122,329.289584,0.000000,0.000000
