k,t,r
188,508.903468,0.000002,0.351427
189,511.085226,0.000002,0.351427
190,514.320114,0.000002,0.351419
191,516.494042,0.000002,0.351419
192,519.761372,0.000002,0.351414
193,521.942235,0.000002,0.351414
194,525.202324,0.000002,0.351409
195,527.377482,0.000002,0.351409
196,530.620984,0.000002,0.351403
197,532.792092,0.000002,0.351403
198,536.038792,0.000002,0.351397
199,538.212907,0.000002,0.351397
200,541.475998,0.000002,0.351393
201,543.641900,0.000002,0.351393
202,546.881752,0.000002,0.351388
203,549.046756,0.000002,0.351388
204,552.261864,0.000002,0.351382
205,554.431787,0.000002,0.351382
206,557.661572,0.000002,0.351378
207,559.832470,0.000002,0.351378
208,563.070250,0.000002,0.351373
209,565.259718,0.000002,0.351373
210,568.505248,0.000002,0.351369
211,570.685192,0.000002,0.351369
212,573.910221,0.000002,0.351363
213,576.073866,0.000002,0.351363
214,579.324150,0.000002,0.351358
215,581.491160,0.000002,0.351358
216,584.744583,0.000002,0.351354
217,586.919816,0.000002,0.351354
218,590.166687,0.000002,0.351350
219,592.336199,0.000002,0.351350
220,595.584656,0.000002,0.351346
221,597.766665,0.000002,0.351346
222,601.005586,0.000002,0.351341
223,603.192059,0.000002,0.351341
224,606.435575,0.000002,0.351336
225,608.604086,0.000002,0.351336
226,611.869786,0.000002,0.351332
227,614.046620,0.000002,0.351332
228,617.275201,0.000002,0.351328
229,619.463515,0.000002,0.351328
230,622.731577,0.000002,0.351325
231,624.903436,0.000002,0.351325
232,628.157246,0.000002,0.351320
233,630.338733,0.000002,0.351320
234,633.584057,0.000002,0.351316
235,635.760032,0.000002,0.351316
236,638.986718,0.000002,0.351312
237,641.150512,0.000002,0.351312
238,644.403132,0.000002,0.351307
239,646.582298,0.000002,0.351307
240,649.821355,0.000002,0.351302
241,651.996909,0.000002,0.351302
242,655.244979,0.000002,0.351301
243,657.414367,0.000002,0.351301
244,660.642108,0.000002,0.351295
245,662.807191,0.000002,0.351295
246,666.039562,0.000002,0.351293
247,668.202862,0.000002,0.351293
248,671.435706,0.000002,0.351289
249,673.612587,0.000002,0.351289
250,676.858272,0.000002,0.351286
251,679.026470,0.000002,0.351286
252,682.269520,0.000002,0.351282
253,684.441102,0.000002,0.351282
254,687.685094,0.000002,0.351277
255,689.853004,0.000002,0.351277
256,693.112027,0.000002,0.351275
257,695.273435,0.000002,0.351275
258,698.515270,0.000002,0.351271
259,700.680211,0.000002,0.351271
260,703.922770,0.000002,0.351267
261,706.107525,0.000002,0.351267
262,709.340369,0.000002,0.351264
263,711.510873,0.000002,0.351264
264,714.748915,0.000002,0.351261
265,716.922824,0.000002,0.351261
266,720.161053,0.000002,0.351258
267,722.325953,0.000002,0.351258
268,725.557877,0.000002,0.351254
269,727.712264,0.000002,0.351254
270,730.937540,0.000002,0.351251
271,733.094137,0.000001,0.351251
272,736.316206,0.000001,0.351247
273,738.475774,0.000001,0.351247
274,741.706686,0.000001,0.351245
275,743.867172,0.000001,0.351245
276,747.114672,0.000001,0.351242
277,749.268134,0.000001,0.351242
278,752.502243,0.000001,0.351239
279,754.663339,0.000001,0.351239
280,757.898674,0.000001,0.351234
281,760.056729,0.000001,0.351234
282,763.288526,0.000001,0.351232
283,765.458723,0.000001,0.351232
284,768.705304,0.000001,0.351228
285,770.877701,0.000001,0.351228
286,774.129518,0.000001,0.351227
287,776.315929,0.000001,0.351227
288,779.564719,0.000001,0.351224
289,781.747015,0.000001,0.351224
290,784.995866,0.000001,0.351221
291,787.176907,0.000001,0.351221
292,790.419576,0.000001,0.351218
293,792.583059,0.000001,0.351218
294,795.818731,0.000001,0.351215
295,797.998620,0.000001,0.351215
296,801.246381,0.000001,0.351214
297,803.430070,0.000001,0.351214
298,806.705683,0.000001,0.351211
299,808.882091,0.000001,0.351211
300,812.115165,0.000001,0.351208
301,814.297115,0.000001,0.351208
302,817.550299,0.000001,0.351205
303,819.720142,0.000001,0.351205
304,822.956913,0.000001,0.351201
305,825.112035,0.000001,0.351201
306,828.353756,0.000001,0.351200
307,830.515912,0.000001,0.351200
308,833.778651,0.000001,0.351196
309,835.957811,0.000001,0.351196
310,839.184280,0.000001,0.351194
311,841.342831,0.000001,0.351194
312,844.579443,0.000001,0.351192
313,846.745093,0.000001,0.351192
314,849.966564,0.000001,0.351189
315,852.118874,0.000001,0.351189
316,855.365464,0.000001,0.351186
317,857.513210,0.000001,0.351186
318,860.755341,0.000001,0.351183
319,862.916479,0.000001,0.351183
320,866.168927,0.000001,0.351183
321,868.344169,0.000001,0.351183
322,871.594975,0.000001,0.351179
323,873.761370,0.000001,0.351179
324,877.000760,0.000001,0.351177
325,879.171599,0.000001,0.351177
326,882.410683,0.000001,0.351174
327,884.589039,0.000001,0.351174
328,887.846079,0.000001,0.351172
329,890.005596,0.000001,0.351172
330,893.255364,0.000001,0.351170
331,895.432860,0.000001,0.351170
332,898.677292,0.000001,0.351167
333,900.840773,0.000001,0.351167
334,904.085540,0.000001,0.351165
335,906.258486,0.000001,0.351165
336,909.504383,0.000001,0.351163
337,911.668275,0.000001,0.351163
338,914.908731,0.000001,0.351162
339,917.079074,0.000001,0.351162
340,920.328508,0.000001,0.351159
341,922.487021,0.000001,0.351159
342,925.748285,0.000001,0.351157
343,927.921822,0.000001,0.351157
344,931.173858,0.000001,0.351154
345,933.335722,0.000001,0.351154
346,936.570036,0.000001,0.351152
347,938.724330,0.000001,0.351152
348,941.961480,0.000001,0.351150
349,944.125518,0.000001,0.351150
350,947.365072,0.000001,0.351148
351,949.539504,0.000001,0.351148
352,952.776557,0.000001,0.351147
353,954.949682,0.000001,0.351147
354,958.187794,0.000001,0.351144
355,960.357763,0.000001,0.351144
356,963.610444,0.000001,0.351141
357,965.778759,0.000001,0.351141
358,969.011102,0.000001,0.351140
359,971.177558,0.000001,0.351140
360,974.434071,0.000001,0.351138
361,976.611683,0.000001,0.351138
362,979.858899,0.000001,0.351136
363,982.044953,0.000001,0.351136
364,985.273657,0.000001,0.351134
365,987.452141,0.000001,0.351134
366,990.696994,0.000001,0.351132
367,992.865494,0.000001,0.351132
368,996.110266,0.000001,0.351130
369,998.276160,0.000001,0.351130
370,1001.516048,0.000001,0.351128
371,1003.683723,0.000001,0.351128
372,1006.925130,0.000001,0.351126
373,1009.092240,0.000001,0.351126
374,1012.311643,0.000001,0.351124
375,1014.469652,0.000001,0.351124
376,1017.708335,0.000001,0.351122
