k,t,r
1,0.443365,0.031623,0.000000
2,1.004615,0.031623,0.030000
3,1.417345,0.031623,0.030000
4,1.965328,0.031623,0.050000
5,2.378573,0.031623,0.050000
6,2.922706,0.031623,0.070000
7,3.351822,0.031623,0.070000
8,3.894438,0.031622,0.089999
9,4.309178,0.031621,0.089999
10,4.854352,0.031618,0.109984
11,5.264761,0.031612,0.109984
12,5.804664,0.031604,0.129920
13,6.211508,0.031592,0.129920
14,6.751158,0.031576,0.149757
15,7.160633,0.031551,0.149757
16,7.703062,0.031511,0.169336
17,8.110964,0.031451,0.169336
18,8.649322,0.031364,0.188225
19,9.055347,0.031249,0.188225
20,9.605258,0.031109,0.205863
21,10.014085,0.030945,0.205863
22,10.564662,0.030755,0.221826
23,10.975327,0.030531,0.221826
24,11.520311,0.030268,0.235638
25,11.934633,0.029973,0.235638
26,12.477036,0.029666,0.247374
27,12.892560,0.029355,0.247374
28,13.434205,0.029026,0.257648
29,13.860510,0.028660,0.257648
30,14.401892,0.028232,0.264800
31,14.811377,0.027724,0.264800
32,15.357078,0.027126,0.266676
33,15.764647,0.026473,0.266676
34,16.312163,0.025810,0.263916
35,16.723054,0.025103,0.263916
36,17.263570,0.024308,0.256765
37,17.672709,0.023453,0.256765
38,18.219177,0.022596,0.243616
39,18.628597,0.021686,0.243616
40,19.173534,0.020697,0.225670
41,19.584007,0.019628,0.225670
42,20.127782,0.018472,0.199690
43,20.542597,0.017315,0.199690
44,21.090085,0.016228,0.169967
45,21.506301,0.015073,0.169967
46,22.051257,0.013819,0.137016
47,22.460178,0.012568,0.137016
48,23.012394,0.011407,0.101522
49,23.419892,0.010356,0.101522
50,23.969869,0.009363,0.071495
51,24.385532,0.008424,0.071495
52,24.928476,0.007646,0.048918
53,25.341522,0.006941,0.048918
54,25.888962,0.006278,0.033551
55,26.307779,0.005652,0.033551
56,26.847664,0.005020,0.021096
57,27.256229,0.004449,0.021096
58,27.800081,0.003949,0.011484
59,28.206763,0.003552,0.011484
60,28.758678,0.003261,0.006345
61,29.164863,0.002910,0.006345
62,29.705267,0.002443,0.002699
63,30.114603,0.002064,0.002699
64,30.658607,0.001770,0.000280
65,31.068404,0.001574,0.000280
66,31.604149,0.001430,0.001228
67,32.010409,0.001282,0.001228
68,32.556693,0.001121,0.001402
69,32.965473,0.000983,0.001402
70,33.520481,0.000825,0.001409
71,33.926725,0.000659,0.001409
72,34.470357,0.000595,0.001441
73,34.880121,0.000591,0.001441
74,35.417962,0.000581,0.001152
75,35.834420,0.000561,0.001152
76,36.370228,0.000542,0.000810
77,36.786744,0.000524,0.000810
78,37.337017,0.000469,0.000564
79,37.746590,0.000327,0.000564
80,38.291146,0.000164,0.000570
81,38.711111,0.000144,0.000570
82,39.248847,0.000193,0.000539
83,39.665585,0.000204,0.000539
84,40.209182,0.000183,0.000377
85,40.616601,0.000153,0.000377
86,41.188106,0.000127,0.000217
87,41.593647,0.000111,0.000217
88,42.133320,0.000102,0.000117
89,42.539300,0.000097,0.000117
90,43.077731,0.000094,0.000084
91,43.485313,0.000090,0.000084
92,44.029679,0.000085,0.000093
93,44.437814,0.000079,0.000093
94,44.983297,0.000074,0.000115
95,45.399071,0.000070,0.000115
96,45.936061,0.000068,0.000145
97,46.345263,0.000066,0.000145
98,46.891937,0.000065,0.000172
99,47.296081,0.000064,0.000172
100,47.834527,0.000062,0.000183
101,48.248748,0.000062,0.000183
102,48.787252,0.000060,0.000176
103,49.193664,0.000059,0.000176
104,49.744929,0.000058,0.000159
105,50.155144,0.000057,0.000159
106,50.703085,0.000056,0.000140
107,51.116613,0.000056,0.000140
108,51.662414,0.000055,0.000119
109,52.078585,0.000055,0.000119
110,52.631149,0.000055,0.000098
111,53.035656,0.000054,0.000098
112,53.578545,0.000054,0.000080
113,53.994367,0.000053,0.000080
114,54.543219,0.000052,0.000063
115,54.961604,0.000051,0.000063
116,55.508899,0.000049,0.000038
117,55.921023,0.000048,0.000038
118,56.461952,0.000046,0.000012
119,56.870334,0.000045,0.000012
120,57.411212,0.000044,0.000008
121,57.823199,0.000043,0.000008
122,58.391747,0.000042,0.000027
123,58.800699,0.000041,0.000027
124,59.343382,0.000039,0.000048
125,59.747718,0.000038,0.000048
126,60.284505,0.000037,0.000070
127,60.691076,0.000036,0.000070
128,61.236746,0.000035,0.000093
129,61.643866,0.000034,0.000093
130,62.187675,0.000033,0.000110
131,62.593072,0.000033,0.000110
132,63.131184,0.000032,0.000123
133,63.546551,0.000032,0.000123
134,64.094967,0.000031,0.000131
135,64.506577,0.000031,0.000131
136,65.053625,0.000030,0.000139
137,65.464313,0.000029,0.000139
138,66.009709,0.000029,0.000146
139,66.419378,0.000029,0.000146
140,66.971382,0.000029,0.000150
141,67.392600,0.000029,0.000150
142,67.931564,0.000029,0.000149
143,68.338203,0.000029,0.000149
144,68.878982,0.000029,0.000146
145,69.292164,0.000029,0.000146
146,69.834826,0.000030,0.000143
147,70.249542,0.000030,0.000143
148,70.799866,0.000030,0.000137
149,71.209566,0.000030,0.000137
150,71.747005,0.000030,0.000132
151,72.160454,0.000030,0.000132
152,72.709859,0.000030,0.000128
153,73.119194,0.000030,0.000128
154,73.669461,0.000029,0.000125
155,74.076280,0.000029,0.000125
156,74.611652,0.000028,0.000124
157,75.020697,0.000028,0.000124
158,75.561179,0.000027,0.000123
159,75.967886,0.000026,0.000123
160,76.512717,0.000026,0.000122
161,76.924396,0.000025,0.000122
162,77.475291,0.000024,0.000122
163,77.882310,0.000024,0.000122
164,78.428752,0.000023,0.000122
165,78.840369,0.000022,0.000122
166,79.396430,0.000022,0.000122
167,79.805877,0.000021,0.000122
168,80.349016,0.000020,0.000125
169,80.761387,0.000020,0.000125
170,81.302039,0.000019,0.000129
171,81.710903,0.000019,0.000129
172,82.253434,0.000018,0.000136
173,82.666697,0.000018,0.000136
174,83.206580,0.000018,0.000141
175,83.616036,0.000018,0.000141
176,84.174528,0.000018,0.000144
177,84.587977,0.000019,0.000144
178,85.139012,0.000019,0.000146
179,85.556636,0.000020,0.000146
180,86.101958,0.000020,0.000148
181,86.510679,0.000020,0.000148
182,87.053782,0.000021,0.000149
183,87.462280,0.000021,0.000149
184,88.005931,0.000021,0.000149
185,88.420810,0.000021,0.000149
