k,t,r
1,0.442202,0.031623,0.000000
2,0.991865,0.031623,0.003000
3,1.392042,0.031623,0.003000
4,1.922990,0.031623,0.005000
5,2.324685,0.031623,0.005000
6,2.864826,0.031623,0.007000
7,3.270869,0.031623,0.007000
8,3.795802,0.031623,0.009000
9,4.196448,0.031623,0.009000
10,4.731575,0.031623,0.011000
11,5.134449,0.031623,0.011000
12,5.661146,0.031623,0.013000
13,6.062680,0.031623,0.013000
14,6.596008,0.031623,0.015000
15,6.996367,0.031623,0.015000
16,7.544756,0.031623,0.017000
17,7.942852,0.031623,0.017000
18,8.481991,0.031623,0.019000
19,8.890502,0.031623,0.019000
20,9.420465,0.031623,0.021000
21,9.828015,0.031623,0.021000
22,10.358706,0.031623,0.023000
23,10.761363,0.031623,0.023000
24,11.296075,0.031623,0.025000
25,11.702376,0.031623,0.025000
26,12.233392,0.031623,0.027000
27,12.636237,0.031623,0.027000
28,13.166584,0.031623,0.029000
29,13.572086,0.031623,0.029000
30,14.106275,0.031623,0.031000
31,14.511427,0.031623,0.031000
32,15.046692,0.031623,0.033000
33,15.452148,0.031623,0.033000
34,15.987107,0.031623,0.035000
35,16.390177,0.031623,0.035000
36,16.924740,0.031623,0.037000
37,17.326974,0.031623,0.037000
38,17.873548,0.031623,0.039000
39,18.275959,0.031623,0.039000
40,18.811330,0.031623,0.041000
41,19.218512,0.031623,0.041000
42,19.753342,0.031623,0.043000
43,20.162820,0.031623,0.043000
44,20.705325,0.031623,0.045000
45,21.108200,0.031623,0.045000
46,21.643127,0.031623,0.047000
47,22.049013,0.031623,0.047000
48,22.585192,0.031623,0.049000
49,22.993947,0.031623,0.049000
50,23.535601,0.031623,0.051000
51,23.942067,0.031623,0.051000
52,24.478092,0.031623,0.053000
53,24.881770,0.031623,0.053000
54,25.413481,0.031623,0.055000
55,25.814873,0.031623,0.055000
56,26.354891,0.031623,0.057000
57,26.754691,0.031623,0.057000
58,27.298550,0.031622,0.058999
59,27.702796,0.031622,0.058999
60,28.234733,0.031622,0.060999
61,28.639184,0.031622,0.060999
62,29.169639,0.031622,0.062998
63,29.575683,0.031622,0.062998
64,30.118612,0.031621,0.064997
65,30.516978,0.031621,0.064997
66,31.054767,0.031621,0.066996
67,31.462166,0.031620,0.066996
68,32.005015,0.031620,0.068994
69,32.406972,0.031620,0.068994
70,32.948769,0.031619,0.070992
71,33.355705,0.031618,0.070992
72,33.889625,0.031618,0.072989
73,34.297957,0.031617,0.072989
74,34.829207,0.031616,0.074985
75,35.230439,0.031615,0.074985
76,35.766892,0.031615,0.076980
77,36.164757,0.031614,0.076980
78,36.699781,0.031613,0.078975
79,37.098315,0.031612,0.078975
80,37.629769,0.031611,0.080968
81,38.040386,0.031610,0.080968
82,38.575534,0.031609,0.082960
83,38.980762,0.031608,0.082960
84,39.513176,0.031607,0.084952
85,39.920524,0.031606,0.084952
86,40.464110,0.031605,0.086943
87,40.875495,0.031604,0.086943
88,41.409346,0.031603,0.088933
89,41.815707,0.031602,0.088933
90,42.357379,0.031601,0.090923
91,42.761638,0.031600,0.090923
92,43.312942,0.031599,0.092912
93,43.716256,0.031599,0.092912
94,44.260792,0.031598,0.094901
95,44.661634,0.031597,0.094901
96,45.207922,0.031596,0.096890
97,45.616951,0.031595,0.096890
98,46.149039,0.031594,0.098879
99,46.551071,0.031593,0.098879
100,47.082504,0.031592,0.100867
101,47.506139,0.031592,0.100867
102,48.036569,0.031591,0.102857
103,48.446207,0.031590,0.102857
104,48.982828,0.031590,0.104846
105,49.387316,0.031589,0.104846
106,49.923366,0.031589,0.106836
107,50.322625,0.031588,0.106836
108,50.855480,0.031588,0.108827
109,51.257014,0.031587,0.108827
110,51.788089,0.031587,0.110818
111,52.189947,0.031586,0.110818
112,52.721908,0.031586,0.112808
113,53.127020,0.031585,0.112808
114,53.656292,0.031584,0.114798
115,54.067599,0.031583,0.114798
116,54.607603,0.031582,0.116785
117,55.009541,0.031580,0.116785
118,55.541395,0.031579,0.118769
119,55.943367,0.031577,0.118769
120,56.475590,0.031575,0.120748
121,56.875009,0.031572,0.120748
122,57.410314,0.031570,0.122722
123,57.822403,0.031567,0.122722
124,58.355872,0.031565,0.124692
125,58.759819,0.031562,0.124692
126,59.300794,0.031560,0.126658
127,59.706093,0.031558,0.126658
128,60.236892,0.031555,0.128623
129,60.649600,0.031553,0.128623
130,61.178428,0.031551,0.130586
131,61.583351,0.031549,0.130586
132,62.122826,0.031547,0.132548
